站號,站名,海拔高度(m),經度,緯度,城市,地址,資料起始日期,撤站日期,備註,原站號,新站號
466850,五分山雷達站,756,121.7812,25.0712,新北市,瑞芳區靜安路四段1巷1號,1988/07/01,　,本站只有雷達觀測資料。,　,　
466880,板橋,9.7,121.442,24.9976,新北市,板橋區大觀路二段265巷62號,1972/03/01,　,原為探空站，自2002年開始進行氣象觀測。,　,　
466900,淡水,19,121.4489,25.1649,新北市,淡水區中正東路42巷6號,1942/01/01,　,　,　,　
466910,鞍部,825.8,121.5297,25.1826,臺北市,北投區陽明山竹子湖路111號,1937/01/01,　,　,　,　
466920,臺北,6.3,121.5149,25.0377,臺北市,中正區公園路64號,1896/01/01,　,2014至2015氣候年報之氣壓計海面上高度應為30.3m(2014/10/25搬遷，6.6m->30.3m),　,　
466930,竹子湖,607.1,121.5445,25.1621,臺北市,北投區陽明山竹子湖路2號,1937/01/01,　,　,　,　
466940,基隆,26.7,121.7405,25.1333,基隆市,仁愛區港西街6號6樓(海港大樓6樓),1946/01/01,　,　,　,　
466950,彭佳嶼,101.7,122.0797,25.628,基隆市,中正區彭佳嶼,1910/01/01,　,　,　,　
466990,花蓮,16,121.6133,23.9751,花蓮縣,花蓮市花崗街24號,1910/01/01,　,　,　,　
467050,新屋,20.6,121.0475,25.0067,桃園市,新屋區東興路二段946號,2013/07/01,　,座標及高度於2013/10/09更正。,　,　
467060,蘇澳,24.9,121.8574,24.5967,宜蘭縣,蘇澳鎮港區路1號6樓(蘇澳港行政大樓6樓),1981/07/01,　,1981/12/1開始觀測。,　,　
467080,宜蘭,7.2,121.7565,24.764,宜蘭縣,宜蘭市力行路150號,1935/01/01,　,　,　,　
467110,金門,47.9,118.2893,24.4073,金門縣,金城鎮金水里西海路一段250號,2004/01/01,　,　,　,　
467300,東吉島,43,119.6675,23.257,澎湖縣,望安鄉東吉村156號,1962/01/01,　,　,　,　
467350,澎湖,10.7,119.5631,23.5655,澎湖縣,馬公市新興路2號,1896/01/01,　,　,　,　
467410,臺南,40.8,120.2048,22.9932,臺南市,中西區公園路21號,1897/01/01,　,1998/05停止觀測，2002/01恢復觀測。2002年至2006年氣候年報之風速儀地上高度應為53.7m。,　,　
467420,永康,8.1,120.2367,23.0384,臺南市,永康區鹽行里正南五街520巷88號,1947/06/01,　,　,　,　
467440,高雄,2.3,120.3157,22.566,高雄市,前鎮區明孝里26鄰漁港南二路2號,1931/01/01,　,　,　,　
467480,嘉義,26.9,120.4329,23.4959,嘉義市,西區北新里海口寮路56號,1968/09/01,　,　,　,　
467490,臺中,84,120.6841,24.1457,臺中市,北區精武路295號,1896/01/01,　,2000年至2006年氣候年報之海拔高度誤植為34m。,　,　
467530,阿里山,2413.4,120.8132,23.5082,嘉義縣,阿里山鄉中正村4鄰東阿里山73-1號,1933/01/01,　,　,　,　
467540,大武,8.1,120.9038,22.3557,臺東縣,大武鄉大武街115號,1939/01/01,　,　,　,　
467550,玉山,3844.8,120.9595,23.4876,南投縣,信義鄉玉山北峰1號,1943/01/01,　,　,　,　
467571,新竹,26.9,121.0142,24.8279,新竹縣,竹北市北崙里3鄰光明五街60號,1991/07/01,　,　,　,　
467590,恆春,22.1,120.7463,22.0039,屏東縣,恆春鎮天文路50號,1896/01/01,　,　,　,　
467610,成功,33.5,121.3734,23.0975,臺東縣,成功鎮公民路84號,1940/01/01,　,　,　,　
467620,蘭嶼,324,121.5583,22.037,臺東縣,蘭嶼鄉紅頭村2號,1941/01/01,　,　,　,　
467650,日月潭,1017.5,120.9081,23.8813,南投縣,魚池鄉水社村中山路270巷14號,1940/01/01,　,　,　,　
467660,臺東,9,121.1546,22.7522,臺東縣,臺東市大同路106號,1901/01/01,　,　,　,　
467770,梧棲,31.7,120.5234,24.256,臺中市,梧棲區臺灣大道十段2號海港大樓6樓,1976/11/01,　,　,　,　
467790,墾丁雷達站,42,120.808,21.9482,屏東縣,恆春鎮燈塔路51巷33號,2001/11/01,　,本站只有雷達觀測資料。,　,　
467990,馬祖,97.8,119.9234,26.1693,連江縣,南竿鄉四維村6鄰88號,2004/01/01,　,　,　,　
C0A520,山佳,48,121.402,24.9749,新北市,樹林區中山路3段5號(山佳國民小學校園內),1987/06/01,　,　,　,　
C0A530,坪林,300,121.7094,24.9382,新北市,坪林區,1987/06/01,　,　,　,　
C0A540,四堵,401,121.7459,24.8928,新北市,坪林區碧湖(北宜路旁之碧湖橋道路上行約10分鐘),1987/06/01,　,　,　,　
C0A550,泰平,460,121.8237,24.9712,新北市,雙溪區泰平里8鄰大平路43號(泰平國小分校附近),1987/06/01,　,　,　,　
C0A560,福山,405,121.5028,24.7762,新北市,烏來區福山里李茂岸八號(福山國小旁),1987/06/01,　,　,　,　
C0A570,桶後,360,121.598,24.8482,新北市,烏來區后桶街49號孝義里5-6k處路旁,1987/06/01,　,　,　,　
C0A580,屈尺,70,121.5463,24.9224,新北市,新店區屈尺里10鄰屈尺路55號(屈尺國民小學國小校園內),1987/06/01,　,　,　,　
C0A640,石碇,241,121.6629,24.9939,新北市,石碇區湳窟34號附近,2009/12/01,　,原(C1A640)站因擴充為氣象站，於2009/12/1升級為(C0A640)站。,C1A640,　
C0A650,火燒寮,287,121.7429,25.0027,新北市,平溪區東勢里,2009/12/01,　,原(C1A650)站因擴充為氣象站，於2009/12/1升級為(C0A650)站。,C1A650,　
C0A660,瑞芳,97,121.8011,25.1132,新北市,瑞芳區22403龍山里逢甲路360號(義方國民小學校園內),2009/12/01,　,原(C1A660)站因擴充為氣象站，於2009/12/1升級為(C0A660)站。,C1A660,　
C0A860,大坪,362,121.633,25.1659,新北市,萬里區溪底里香員林6-3號,1995/01/01,　,　,　,　
C0A870,五指山,685,121.6087,25.1322,新北市,汐止區國軍示範公墓旁之復興廣播電台門口外,1995/01/01,　,　,　,　
C0A880,福隆,6,121.9421,25.0178,新北市,貢寮區東北角海岸國家風景管理處之福隆遊客中心後方,1995/01/01,　,　,　,　
